# DO NOT REMOVE THIS FILE!!!
# Supported Device ID List SATA Marvell 91xx all
# Pattern Device ID
2390 9023
2890 9028
1091 9110
1191 9111
2091 9120
2291 9122
2391 9123
2591 9125
2891 9128
3091 9130
7191 9171
7291 9172
8191 9181
8291 9182
A390 90A3
A890 90A8
7991 9179
7A91 917A
8991 9189
8A91 918A
9091 9190
9191 9191
A091 91A0
A291 91A2
4D61 614D
7276 7672
656C 6C65
6C20 206C
5365 6553
6D69 696D
636F 6F63
6E64 646E
7563 6375
746F 6F74
7273 7372
