# DO NOT REMOVE THIS FILE!!!
# Supported Device ID List Boot Agent Marvell-Yukon
# Pattern Device ID
6143 4361
6243 4362
6343 4363
6443 4364
6543 4365
6643 4366
6743 4367
6843 4368
6943 4369
6A43 436A
6B43 436B
6C43 436C
6D43 436D
7043 4370
2043 4320
4043 4340
4143 4341
4243 4342
4343 4343
4443 4344
4543 4345
4643 4346
4743 4347
5043 4350
5143 4351
5243 4352
5343 4353
5443 4354
5543 4355
5643 4356
5743 4357
5A43 435A
7043 4370
009E 9E00
0090 9000
6043 4360
8143 4381
